persona,acting_for_relationship,record,expected_result,rationale,last_verified
Dealer A user,Dealer A to Distributor North,Dealer A order,Visible,Own record within own relationship,
Dealer A user,Dealer A to Distributor North,Dealer B order,Not visible,Sibling dealer. Competitive boundary,
Dealer A user,Dealer A to Distributor North,Dealer A pricing,Visible,Own commercial terms,
Dealer A user,Dealer A to Distributor North,Dealer B pricing,Not visible,Sibling dealer pricing is the highest-sensitivity leak,
Distributor North user,Distributor North to Dealer A,Dealer A order,Visible,Roll-up across dealers served,
Distributor North user,Distributor North to Dealer A,Dealer A order under Distributor West,Not visible,Same dealer. Different relationship,
Distributor West user,Distributor West to Dealer A,Dealer A order under Distributor North,Not visible,Competing distributor. Same dealer,
Distributor North user,Distributor North to Dealer A,Dealer A margin,Not visible,Dealer commercial terms not exposed upward,
Branch user,Dealer A Denver branch,Branch order,Visible,Own scope,
Branch user,Dealer A Denver branch,Parent volume agreement,Not visible,Authority differs inside one legal entity,
Multi-relationship user acting for Dealer A,Dealer A to Distributor North,Dealer B record,Not visible,Context switching must not widen access,
Multi-relationship user acting for Dealer B,Dealer B to Distributor West,Dealer A record,Not visible,Reverse direction of the same test,
User with expired relationship,Dealer A to Distributor North (ended),Dealer A order,Not visible,Access must retract on expiry,
User with suspended relationship,Dealer A to Distributor North (suspended),Dealer A order,Not visible,Suspension behaves as expiry for access,
Reference contact,None,Any record,No login,Modeled as a record not a user,
